date,open,high,low,close,volume
2025-10-29 09:15:00+05:30,26400.0,26497.2,26350.0,26457.4,2795
2025-10-29 09:20:00+05:30,26457.4,26474.1,26457.4,26458.5,2600
2025-10-29 09:25:00+05:30,26458.5,26499.0,26458.5,26494.0,1950
2025-10-29 09:30:00+05:30,26494.0,26500.0,26492.0,26492.0,1755
2025-10-29 09:35:00+05:30,26492.0,26492.0,26460.0,26464.5,1625
2025-10-29 09:40:00+05:30,26464.5,26474.2,26460.0,26470.1,1495
2025-10-29 09:45:00+05:30,26470.1,26485.0,26465.0,26465.0,1040
2025-10-29 09:50:00+05:30,26465.0,26483.1,26465.0,26468.6,390
2025-10-29 09:55:00+05:30,26468.6,26480.0,26468.6,26470.1,260
2025-10-29 10:00:00+05:30,26470.1,26490.0,26470.1,26490.0,650
2025-10-29 10:05:00+05:30,26490.0,26490.0,26485.0,26489.5,455
2025-10-29 10:10:00+05:30,26489.5,26494.0,26481.1,26492.0,1105
2025-10-29 10:15:00+05:30,26492.0,26492.0,26481.0,26481.0,585
2025-10-29 10:20:00+05:30,26481.0,26500.0,26481.0,26500.0,2860
2025-10-29 10:25:00+05:30,26500.0,26545.0,26500.0,26545.0,4420
2025-10-29 10:30:00+05:30,26545.0,26581.3,26543.0,26575.0,3315
2025-10-29 10:35:00+05:30,26575.0,26575.0,26550.0,26550.0,2340
2025-10-29 10:40:00+05:30,26550.0,26559.9,26550.0,26558.9,780
2025-10-29 10:45:00+05:30,26557.9,26559.5,26550.0,26550.0,2340
2025-10-29 10:50:00+05:30,26550.0,26553.7,26545.0,26545.0,2015
2025-10-29 10:55:00+05:30,26545.0,26559.3,26540.0,26555.0,1365
2025-10-29 11:00:00+05:30,26555.0,26559.9,26545.1,26545.2,910
2025-10-29 11:05:00+05:30,26545.2,26555.5,26544.5,26550.0,845
2025-10-29 11:10:00+05:30,26550.0,26552.0,26540.0,26546.8,1365
2025-10-29 11:15:00+05:30,26546.8,26548.6,26526.5,26535.0,1625
2025-10-29 11:20:00+05:30,26535.0,26557.3,26535.0,26550.0,1560
2025-10-29 11:25:00+05:30,26550.0,26567.0,26550.0,26555.0,1430
2025-10-29 11:30:00+05:30,26555.0,26558.0,26550.0,26554.0,520
2025-10-29 11:35:00+05:30,26554.0,26557.0,26544.9,26548.0,1105
2025-10-29 11:40:00+05:30,26548.0,26548.0,26547.8,26547.8,325
2025-10-29 11:45:00+05:30,26547.8,26555.0,26540.8,26540.8,195
2025-10-29 11:50:00+05:30,26540.8,26540.8,26531.9,26540.0,1365
2025-10-29 11:55:00+05:30,26540.0,26540.0,26531.0,26532.0,520
2025-10-29 12:00:00+05:30,26532.0,26546.0,26532.0,26540.2,1170
2025-10-29 12:05:00+05:30,26540.2,26554.9,26540.2,26554.9,1300
2025-10-29 12:10:00+05:30,26554.9,26559.9,26550.0,26550.5,1105
2025-10-29 12:15:00+05:30,26550.5,26562.0,26550.5,26560.0,1235
2025-10-29 12:20:00+05:30,26560.0,26562.0,26560.0,26560.0,455
2025-10-29 12:25:00+05:30,26560.0,26575.0,26560.0,26575.0,1495
2025-10-29 12:30:00+05:30,26575.0,26591.0,26575.0,26581.0,1040
2025-10-29 12:35:00+05:30,26581.0,26595.0,26580.2,26589.0,910
2025-10-29 12:40:00+05:30,26589.0,26595.9,26588.9,26595.9,1235
2025-10-29 12:45:00+05:30,26595.9,26602.0,26595.9,26599.0,1755
2025-10-29 12:50:00+05:30,26599.0,26599.0,26590.0,26590.1,585
2025-10-29 12:55:00+05:30,26590.1,26598.6,26590.0,26598.6,520
2025-10-29 13:00:00+05:30,26598.6,26598.6,26587.0,26587.7,650
2025-10-29 13:05:00+05:30,26587.7,26595.0,26585.0,26595.0,260
2025-10-29 13:10:00+05:30,26595.0,26599.0,26587.5,26593.0,780
2025-10-29 13:15:00+05:30,26593.0,26599.8,26587.6,26587.6,130
2025-10-29 13:20:00+05:30,26587.6,26597.2,26587.6,26587.8,390
2025-10-29 13:25:00+05:30,26587.8,26598.7,26587.8,26597.5,390
2025-10-29 13:30:00+05:30,26597.5,26600.0,26597.5,26600.0,975
2025-10-29 13:35:00+05:30,26600.0,26600.0,26591.1,26600.0,715
2025-10-29 13:40:00+05:30,26600.0,26600.0,26590.0,26590.0,325
2025-10-29 13:45:00+05:30,26590.0,26592.0,26582.0,26589.9,650
2025-10-29 13:50:00+05:30,26589.9,26590.0,26582.4,26590.0,260
2025-10-29 13:55:00+05:30,26590.0,26590.0,26578.4,26578.4,1430
2025-10-29 14:00:00+05:30,26578.4,26578.4,26550.6,26550.6,1040
2025-10-29 14:05:00+05:30,26550.6,26563.5,26550.6,26553.1,390
2025-10-29 14:10:00+05:30,26553.1,26569.9,26553.1,26569.2,390
2025-10-29 14:15:00+05:30,26569.2,26575.0,26568.8,26569.1,455
2025-10-29 14:20:00+05:30,26569.1,26570.0,26569.0,26569.0,130
2025-10-29 14:25:00+05:30,26569.0,26569.0,26555.0,26558.0,910
2025-10-29 14:30:00+05:30,26558.0,26565.0,26558.0,26559.0,455
2025-10-29 14:35:00+05:30,26559.0,26560.0,26555.0,26555.1,325
2025-10-29 14:40:00+05:30,26557.8,26560.2,26557.8,26559.0,910
2025-10-29 14:45:00+05:30,26559.0,26559.0,26541.1,26551.1,1495
2025-10-29 14:50:00+05:30,26551.1,26568.9,26551.1,26563.0,585
2025-10-29 14:55:00+05:30,26563.0,26564.9,26559.3,26560.0,520
2025-10-29 15:00:00+05:30,26560.0,26564.9,26555.5,26555.5,585
2025-10-29 15:05:00+05:30,26555.5,26565.0,26555.5,26565.0,910
2025-10-29 15:10:00+05:30,26565.0,26569.8,26557.6,26557.6,455
2025-10-29 15:15:00+05:30,26557.6,26573.3,26557.6,26573.3,910
2025-10-29 15:20:00+05:30,26573.3,26590.0,26565.7,26587.8,2080
2025-10-29 15:25:00+05:30,26587.8,26595.0,26587.8,26595.0,3055
2025-10-30 09:15:00+05:30,26520.1,26539.9,26470.0,26490.5,8255
2025-10-30 09:20:00+05:30,26490.5,26490.5,26470.0,26488.4,2080
2025-10-30 09:25:00+05:30,26488.4,26488.4,26475.0,26480.0,3445
2025-10-30 09:30:00+05:30,26480.0,26480.0,26431.0,26433.8,5200
2025-10-30 09:35:00+05:30,26433.8,26443.7,26427.5,26435.9,1105
2025-10-30 09:40:00+05:30,26435.9,26440.5,26410.2,26411.4,4290
2025-10-30 09:45:00+05:30,26411.4,26420.8,26400.0,26417.1,5070
2025-10-30 09:50:00+05:30,26417.1,26425.0,26390.0,26390.0,3575
