timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume,fut_open,fut_high,fut_low,fut_close,fut_volume,opt_open,opt_high,opt_low,opt_close,opt_volume,opt_strike,opt_type,opt_ltp,opt_iv,opt_oi,EMA_5,EMA_15,ATM_call_IV,ATM_put_IV,ATM_call_OI,ATM_put_OI,call_delta,put_delta,Average_IV,IV_Spread,PCR_OI,PCR_Volume,Futures_Basis,spot_return,fut_return,Delta_Neutral_Ratio,Gamma_Exposure,Vega,regime_state,regime,position,return,strategy_return,target,lstm_pred,xgb_pred,position_xgb,position_lstm,strategy_return_xgb,strategy_return_lstm
2025-12-19 15:00:00+05:30,25959.5,25965.55,25945.45,25964.75,0,26174.5,26188.9,26170.0,26183.3,3965,25959.5,25965.55,25945.45,25964.75,0,25950.0,CE,0.0,15.0,100000,25966.62737337814,25968.48782400436,,,,,,,,,,,0.0084171809857595,0.0002311092290274,0.0003361485808366,,,0,1,-1,-1,,-0.0002311359368227,0,0.22423534,0.57018566,-1,0,,
2025-12-19 15:05:00+05:30,25964.75,25973.6,25961.8,25971.85,0,26183.3,26194.4,26180.6,26194.3,20475,25964.75,25973.6,25961.8,25971.85,0,25950.0,CE,0.0,15.0,100000,25968.368248918763,25968.90809600381,,,,,,,,,,,0.0085650425364385,0.0002734102749978,0.0004200268878956,,,0,1,-1,-1,0.00027344765499370816,-0.0002734476549937,1,0.22423534,0.7391387,-1,0,-0.00027344765499370816,0.0
2025-12-19 15:10:00+05:30,25971.7,25973.2,25964.05,25969.85,0,26194.3,26195.0,26185.0,26192.6,5330,25971.7,25973.2,25964.05,25969.85,0,25950.0,CE,0.0,15.0,100000,25968.862165945844,25969.02583400334,,,,,,,,,,,0.0085772540080131,-7.700941636443358e-05,-6.490172163638995e-05,,,0,1,-1,-1,-7.700645121544447e-05,7.700645121544447e-05,0,0.22423534,0.13976341,0,0,7.700645121544447e-05,-0.0
2025-12-19 15:15:00+05:30,25968.5,25972.25,25964.2,25970.35,0,26192.6,26196.1,26188.0,26195.1,5590,25968.5,25972.25,25964.2,25970.35,0,25950.0,CE,0.0,15.0,100000,25969.358110630565,25969.19135475292,,,,,,,,,,,0.0086540997714701,1.92529100779312e-05,9.544225082973742e-05,,,0,1,-1,0,1.925309541639386e-05,-1.925309541639386e-05,0,0.22423534,0.00064806035,0,0,0.0,0.0
2025-12-19 15:20:00+05:30,25970.35,25974.25,25967.15,25970.15,0,26195.1,26196.5,26190.0,26195.0,7475,25970.35,25974.25,25967.15,25970.15,0,25950.0,CE,0.0,15.0,100000,25969.62207375371,25969.31118540881,,,,,,,,,,,0.0086580169925856,-7.701119550217327e-06,-3.817515141199403e-06,,,0,1,-1,0,-7.701089896672286e-06,-0.0,0,0.22423534,0.0009269208,0,0,-0.0,-0.0
2025-12-19 15:25:00+05:30,25970.15,25973.2,25955.6,25961.4,0,26195.0,26198.0,26192.0,26195.0,10270,25970.15,25973.2,25955.6,25961.4,0,25950.0,CE,0.0,15.0,100000,25966.88138250248,25968.322287232702,,,,,,,,,,,0.00899797391512,-0.0003369820497482,0.0,,,0,1,-1,-1,-0.00033692527767459346,-0.0,0,0.22423534,0.49846894,0,0,-0.0,-0.0
2025-12-22 09:15:00+05:30,26055.85,26103.8,26047.8,26093.9,0,26289.8,26324.8,26262.1,26318.7,61360,26055.85,26103.8,26047.8,26093.9,0,26100.0,CE,0.0,15.0,100000,26009.22092166832,25984.019501328617,,,,,,,,,,,0.0086150402967743,0.0050907510341081,0.0047111602798392,,,0,1,-1,0,0.005103730923601946,-0.0051037309236019,0,0.22423534,0.006077695,0,0,0.0,0.0
2025-12-22 09:20:00+05:30,26094.55,26126.6,26092.75,26121.05,0,26318.6,26342.0,26317.0,26333.4,55445,26094.55,26126.6,26092.75,26121.05,0,26100.0,CE,0.0,15.0,100000,26046.497281112217,26001.14831366254,,,,,,,,,,,0.008129458808126,0.0010399321438323,0.0005583823012546,,,0,1,-1,0,0.0010404730607536106,0.0,0,0.22423534,0.0017596846,0,0,0.0,0.0
2025-12-22 09:25:00+05:30,26119.35,26132.5,26112.6,26125.55,0,26331.2,26342.1,26331.1,26332.4,20410,26119.35,26132.5,26112.6,26125.55,0,26150.0,CE,0.0,15.0,100000,26072.848187408148,26016.69852445472,,,,,,,,,,,0.0079175366642999,0.0001722600135178,-3.7975308458963255e-05,,,0,1,-1,0,0.00017227485112591978,0.0,0,0.22423534,0.00331634,0,0,0.0,0.0
2025-12-22 09:30:00+05:30,26125.5,26136.9,26121.8,26125.25,0,26333.2,26342.0,26326.0,26327.0,22425,26125.5,26136.9,26121.8,26125.25,0,26150.0,CE,0.0,15.0,100000,26090.315458272104,26030.26745889788,,,,,,,,,,,0.0077224141395776,-1.1483077771125628e-05,-0.0002050915893052,,,0,1,-1,0,-1.148301184084044e-05,-0.0,0,0.22423534,0.00084576383,0,0,-0.0,-0.0
2025-12-22 09:35:00+05:30,26125.85,26130.0,26112.2,26113.15,0,26327.0,26336.4,26320.0,26320.0,19500,26125.85,26130.0,26112.2,26113.15,0,26100.0,CE,0.0,15.0,100000,26097.926972181405,26040.627776535646,,,,,,,,,,,0.0079212963583481,-0.0004632607513399,-0.0002659220863961,,,0,1,-1,0,-0.00046315346264624857,-0.0,0,0.22423534,0.002269283,0,0,-0.0,-0.0
2025-12-22 09:40:00+05:30,26112.65,26125.65,26111.2,26124.2,0,26320.0,26336.5,26319.5,26333.9,7540,26112.65,26125.65,26111.2,26124.2,0,26100.0,CE,0.0,15.0,100000,26106.68464812094,26051.074304468693,,,,,,,,,,,0.0080270400624708,0.000423068940703,0.000527976097607,,,0,1,-1,0,0.000423158446989369,0.0,0,0.22423534,0.002813616,0,0,0.0,0.0
2025-12-22 09:45:00+05:30,26124.45,26137.75,26111.9,26115.1,0,26333.9,26342.0,26326.0,26326.0,10075,26124.45,26137.75,26111.9,26115.1,0,26100.0,CE,0.0,15.0,100000,26109.48976541396,26059.077516410107,,,,,,,,,,,0.0080757875711753,-0.0003483967086867,-0.0003000385515075,,,0,1,-1,0,-0.0003483360256009149,-0.0,0,0.22423534,0.0031311037,0,0,-0.0,-0.0
2025-12-22 09:50:00+05:30,26115.45,26123.55,26112.3,26118.9,0,26330.0,26334.1,26323.3,26330.1,7735,26115.45,26123.55,26112.3,26118.9,0,26100.0,CE,0.0,15.0,100000,26112.62651027597,26066.555326858845,,,,,,,,,,,0.0080860985722981,0.0001454991004597,0.0001557274468972,,,0,1,-1,0,0.0001455096859672711,0.0,0,0.22423534,0.0016627088,0,0,0.0,0.0
2025-12-22 09:55:00+05:30,26119.3,26136.15,26116.15,26132.8,0,26330.1,26345.0,26328.0,26342.2,12740,26119.3,26136.15,26116.15,26132.8,0,26150.0,CE,0.0,15.0,100000,26119.35100685065,26074.835911001486,,,,,,,,,,,0.0080129186309925,0.0005320401184223,0.0004594445358509,,,0,1,-1,0,0.0005321816768699694,0.0,0,0.22423534,0.0007118939,0,0,0.0,0.0
2025-12-22 10:00:00+05:30,26133.4,26139.25,26130.35,26139.25,0,26342.2,26349.0,26340.0,26343.5,11700,26133.4,26139.25,26130.35,26139.25,0,26150.0,CE,0.0,15.0,100000,26125.9840045671,26082.8876721263,,,,,,,,,,,0.0078139196801744,0.0002467858074337,4.934925417190851e-05,,,0,1,-1,0,0.0002468162615563152,0.0,0,0.22423534,0.0011171274,0,0,0.0,0.0
2025-12-22 10:05:00+05:30,26138.05,26142.0,26126.3,26127.95,0,26343.5,26349.0,26334.0,26338.0,5200,26138.05,26142.0,26126.3,26127.95,0,26150.0,CE,0.0,15.0,100000,26126.63933637807,26088.520463110515,,,,,,,,,,,0.0080392836024257,-0.0004323935537413,-0.0002088019521077,,,0,1,-1,0,-0.0004323000851209624,-0.0,0,0.22423534,0.0008619681,0,0,-0.0,-0.0
